	index	Air Date	Category	Value	Question	Answer
0	1075	2011-12-30	THE 1820s	$200	In 1822 Friedrich Buschmann obtained a patent for this instrument also known as a squeezebox	an accordion
1	1076	2011-12-30	COMPLETE THE MOVIE QUOTE	$200	"""Sudden Impact"": ""Go ahead, ____ ____ ____"""	make my day
2	1077	2011-12-30	"""A""NATOMY"	$200	It's not an actual fruit but a bulge formed by the thyroid cartilage of the larynx	the Adam's apple
3	1078	2011-12-30	THE MOST EXPENSIVE EVER	$200	The most expensive one of these kits is Keith Moon's premier set, which sold at auction in 2004 for about $250,000	drums
4	1079	2011-12-30	MUSEUMS OF GERMANY	$200	Kids will love the hands-on Stone Age Workshop at the Mettmann Museum of this early man	Neaderthal
5	1080	2011-12-30	SILENT LETTERS	$200	"W: Gorgeous George was one of these ""combatants"""	a wrestler
6	1081	2011-12-30	THE 1820s	$400	"In 1827 chemist John Walker ""struck"" gold by inventing the first friction ones of these; smokers really liked them"	matches
7	1082	2011-12-30	COMPLETE THE MOVIE QUOTE	$400	"""Love Story"": ""Love means ____ ____ ____ ____ ____ ____"""	never having to say you're sorry
8	1083	2011-12-30	"""A""NATOMY"	$400	The gastrointestinal tract is also called this canal, Watson	the alimentary
9	1084	2011-12-30	THE MOST EXPENSIVE EVER	$400	With a solid gold nib, the 1 million euro Aurora Diamond is the most expensive one of these ever	a fountain pen
10	1085	2011-12-30	MUSEUMS OF GERMANY	$400	A Baden-Baden museum devoted to the works of this Russian imperial jeweler opened in 2009	Fabergé
11	1086	2011-12-30	SILENT LETTERS	$400	H: An ecstatic expression, or an emotional musical composition	rhapsody
12	1087	2011-12-30	THE 1820s	$600	"He was about 70 when he published his ""American Dictionary of the English Language"" in 2 volumes in 1828"	(Noah) Webster
13	1088	2011-12-30	COMPLETE THE MOVIE QUOTE	$600	"""When Harry Met Sally"":  ""I'll have ____ ____ ____"""	what she's having
14	1089	2011-12-30	"""A""NATOMY"	$600	The 2 vertebral these perform the rather important function of supplying blood to the brain	arteries
15	1090	2011-12-30	THE MOST EXPENSIVE EVER	$600	"In 2010 sex.com was sold for $13 million, the most ever paid for the part of an Internet address called this ""name"""	a domain name
16	1091	2011-12-30	MUSEUMS OF GERMANY	$600	The Egyptian Museum in Berlin has the world-famous painted bust of this queen & wife of Akhenaton	Nefertiti
